Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,1.0,1.0,,1.0,0.4795718193054199
LinearDiscriminantAnalysis,1.0,1.0,,1.0,0.26955366134643555
CalibratedClassifierCV,1.0,1.0,,1.0,1.4508178234100342
RidgeClassifierCV,1.0,1.0,,1.0,0.2227463722229004
RidgeClassifier,1.0,1.0,,1.0,0.10893416404724121
PassiveAggressiveClassifier,1.0,1.0,,1.0,0.16890215873718262
LogisticRegression,1.0,1.0,,1.0,0.1914687156677246
Perceptron,0.9946236559139785,0.9946236559139785,,0.9946233062330623,0.15333342552185059
SGDClassifier,0.9704301075268817,0.9704301075268816,,0.9703718184730843,0.16628360748291016
QuadraticDiscriminantAnalysis,0.9139784946236559,0.913978494623656,,0.9125220458553791,0.2520456314086914
AdaBoostClassifier,0.9112903225806451,0.9112903225806451,,0.9096913018290159,12.849276781082153
SVC,0.8897849462365591,0.8897849462365591,,0.8863424713346137,0.5824973583221436
LGBMClassifier,0.8494623655913979,0.8494623655913979,,0.8431029589731599,0.9903128147125244
KNeighborsClassifier,0.8360215053763441,0.836021505376344,,0.8254619294025348,1.882136344909668
XGBClassifier,0.8145161290322581,0.814516129032258,,0.8001693413614382,0.965773344039917
LabelSpreading,0.8064516129032258,0.8064516129032259,,0.7899404911670748,28.560335874557495
LabelPropagation,0.8064516129032258,0.8064516129032259,,0.7899404911670748,26.290196657180786
ExtraTreeClassifier,0.7903225806451613,0.7903225806451614,,0.7776931656474749,0.08386802673339844
ExtraTreesClassifier,0.760752688172043,0.760752688172043,,0.7236047837172882,0.9482347965240479
NuSVC,0.7526881720430108,0.7526881720430106,,0.711403087843912,29.568359375
NearestCentroid,0.7258064516129032,0.7258064516129034,,0.66200999553504,0.17481017112731934
DecisionTreeClassifier,0.7258064516129032,0.7258064516129034,,0.66200999553504,0.9903104305267334
RandomForestClassifier,0.7231182795698925,0.7231182795698925,,0.6654026263221665,9.090460538864136
GaussianNB,0.7016129032258065,0.7016129032258064,,0.6205410170576792,0.09401154518127441
BaggingClassifier,0.6935483870967742,0.6935483870967744,,0.6243321044968142,6.0638108253479
BernoulliNB,0.6935483870967742,0.6935483870967741,,0.6050131653220858,0.1173257827758789
DummyClassifier,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.07144713401794434
